variant,attack,intensity,mean,q05,auc,eer,semantic_ratio,coordinate_ratio,tar_at_far5,tar_at_far1
Personalized,rotation_z,60.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,rotation_z,90.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,rotation_z,120.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,rotation_z,180.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,coordinate_noise,0.0001,0.9568634033203125,0.912841796875,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,coordinate_noise,0.0005,0.953277587890625,0.9054199218750001,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,coordinate_noise,0.001,0.946441650390625,0.879931640625,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,coordinate_noise,0.002,0.934051513671875,0.860107421875,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,coordinate_noise,0.005,0.89239501953125,0.792333984375,1.0,0.0,1.0,1.0,1.0,1.0
Personalized,sequential,0.1,0.8354034423828125,0.7166015625,0.9957139756944444,0.033730158730158735,0.8595719370440625,0.8735579788049099,0.953125,0.953125
Personalized,sequential,0.2,0.7525482177734375,0.5771484375,0.9943033854166666,0.04625496031746032,0.6770900790036187,0.7096686429225971,0.671875,0.65625
Personalized,sequential,0.4,0.63592529296875,0.452880859375,0.8729267423115079,0.17100694444444445,0.42604288607190294,0.4688520327609714,0.296875,0.234375
Personalized,sequential,0.6,0.56414794921875,0.438525390625,0.7652219742063492,0.27827380952380953,0.21145181873709806,0.26267904171267153,0.078125,0.078125
Personalized,lod2_to_lod1,1.0,0.508026123046875,0.4283203125,0.5705915178571429,0.4554811507936508,0.10432333206112482,0.3528480015553056,0.0,0.0
Personalized,hierarchy_flatten,0.2,0.833251953125,0.621142578125,0.9988141741071429,0.018229166666666664,0.820156847567799,0.9218417108998564,0.875,0.84375
Personalized,hierarchy_flatten,0.4,0.752410888671875,0.613671875,0.9695172991071429,0.04625496031746032,0.6394001175014663,0.8526878106249899,0.78125,0.703125
Personalized,hierarchy_flatten,0.6,0.6844940185546875,0.530517578125,0.9692150297619048,0.07849702380952381,0.4649232145596585,0.7815182427190469,0.484375,0.390625
Personalized,hierarchy_flatten,0.8,0.59442138671875,0.48828125,0.8916984437003969,0.17100694444444445,0.28416648449332577,0.7045552410043592,0.109375,0.09375
Personalized,hierarchy_flatten,1.0,0.5108642578125,0.42246093749999997,0.5823412698412699,0.4399801587301587,0.10432333206112482,0.6240324313823493,0.0,0.0
Personalized,relation_delete,0.2,0.8447265625,0.74697265625,0.9999844990079365,0.000496031746031746,0.820156847567799,0.9247790880487524,0.984375,0.984375
Personalized,relation_delete,0.4,0.7615966796875,0.6168945312499999,0.9977562313988095,0.018229166666666664,0.6394001175014663,0.8465056205414287,0.8125,0.71875
Personalized,relation_delete,0.6,0.68743896484375,0.55419921875,0.9829489087301587,0.06324404761904762,0.4649232145596585,0.7796473833961342,0.4375,0.359375
